employee_id,age,years_at_company,monthly_income,salary_hike_percent,distance_from_home_km,training_hours_year,projects_completed,average_weekly_hours,overtime_hours,manager_rating,employee_rating,promotion_wait_years,absent_days,sick_days,travel_days_month,department,job_role,education_level,gender,marital_status,shift,work_location,manager_style,received_bonus,recent_promotion,career_change_requested,mentor_assigned,has_stock_options,uses_company_transport,left_company
1,49,14,,6,58,74.0,11,53,13,5,4,7,2,5,4,HR,Engineer,Master,Female,Married,Day,Office,Balanced,0,0,0,1,0,0,0
2,23,4,73276.0,18,7,20.0,9,68,28,2,4,0,13,1,9,Marketing,Analyst,High School,Male,Divorced,Day,Hybrid,Supportive,0,0,0,1,0,0,0
3,38,11,81361.0,7,14,61.0,8,50,10,5,2,6,20,7,9,Engineering,Analyst,Bachelor,Female,Single,Day,Office,Micromanager,0,0,0,0,0,0,0
4,59,8,67056.0,6,9,71.0,12,63,23,1,5,2,11,7,5,Sales,Manager,Bachelor,Male,Divorced,Night,Hybrid,Balanced,1,0,0,0,0,0,0
5,52,3,49863.0,12,15,42.0,13,65,25,5,3,2,1,9,12,Sales,Lead,Bachelor,Female,Married,Flexible,Office,Micromanager,0,1,0,1,0,0,0
6,47,8,,4,33,50.0,10,53,13,3,1,3,16,0,9,Engineering,Executive,Bachelor,Female,Divorced,Day,Office,Micromanager,1,0,0,0,1,0,0
7,52,5,66707.0,10,56,16.0,15,67,27,5,4,1,5,5,10,Marketing,Analyst,Bachelor,Female,Single,Flexible,Office,Balanced,1,0,0,0,1,0,0
8,31,17,,9,35,6.0,12,45,5,2,1,3,16,1,0,Operations,Lead,Master,Female,Divorced,Day,Office,Supportive,1,0,0,1,1,1,0
9,55,15,86016.0,17,46,65.0,6,64,24,5,1,3,0,3,0,Sales,Lead,Bachelor,Female,Divorced,Night,Office,Balanced,0,0,0,0,1,0,1
10,41,0,36427.0,14,33,68.0,12,48,8,4,3,7,16,0,11,Marketing,Executive,Bachelor,Male,Married,Day,Office,Hands-off,0,1,1,1,0,0,0
11,38,9,69578.0,7,46,23.0,2,61,21,2,3,1,1,9,0,Finance,Analyst,High School,Female,Divorced,Day,Remote,Supportive,1,1,0,0,1,0,0
12,32,18,94623.0,14,28,65.0,7,51,11,3,1,1,16,3,9,Operations,Lead,Bachelor,Female,Single,Day,Hybrid,Balanced,1,0,0,0,0,0,0
13,50,18,82058.0,4,26,61.0,7,38,0,4,5,0,0,1,15,Research,Lead,High School,Male,Single,Day,Remote,Supportive,1,0,0,0,0,1,0
14,25,14,90229.0,16,30,61.0,4,34,0,4,2,1,15,4,6,Engineering,Executive,Bachelor,Male,Divorced,Day,Remote,Hands-off,0,0,1,0,0,0,0
15,22,16,89128.0,19,24,11.0,2,64,24,4,1,0,18,10,4,,Executive,Bachelor,Female,Married,Day,Office,Balanced,0,0,0,0,0,0,0
