employee_id,age,department,job_level,years_at_company,monthly_income_inr,overtime,job_satisfaction,work_life_balance,commute_km,training_hours_year,performance_rating,remote_days_per_week,left_company
1,28,Engineering,3,7,63800,0,5,1,38,54,2,0,0
2,22,HR,1,4,43200,0,4,5,18,0,4,1,0
3,48,Marketing,1,6,39500,0,4,1,23,44,4,0,0
4,45,Engineering,2,20,71700,0,1,1,43,29,4,0,0
5,35,Engineering,2,14,59900,1,3,2,43,34,4,5,0
6,31,HR,3,5,75700,1,5,2,44,41,4,0,0
7,35,Engineering,3,12,67800,0,5,3,14,63,3,5,0
8,36,Operations,2,8,62000,1,3,2,9,65,3,0,0
9,28,Sales,3,10,74400,1,4,5,30,67,3,4,0
10,28,Operations,4,10,83000,0,3,4,11,58,1,5,0
11,37,HR,3,16,65500,0,2,3,11,69,5,4,0
12,52,Engineering,1,11,43100,0,2,5,6,10,4,0,0
13,55,Sales,1,15,43800,1,2,5,45,25,4,3,1
14,49,HR,2,7,50600,1,1,5,36,29,4,0,1
15,25,Operations,3,7,55300,1,1,5,16,35,4,1,0
16,57,HR,2,25,75900,0,1,1,43,55,3,3,0
17,50,Operations,1,20,41900,1,3,1,16,24,3,3,0
18,50,Sales,4,2,89000,0,1,5,1,11,5,1,0
19,31,Finance,2,6,55900,0,4,1,25,33,5,3,0
20,56,Operations,3,4,61100,0,1,5,35,7,4,0,1
21,24,HR,2,6,47900,0,2,1,39,8,4,1,0
22,57,Sales,2,1,43500,1,3,2,43,40,3,3,1
23,29,Operations,3,11,69800,0,4,5,37,12,2,1,0
24,43,Engineering,4,11,82800,1,5,3,40,67,1,4,0
25,40,Operations,1,4,37400,0,5,2,18,36,4,5,0
26,37,HR,2,1,43900,1,1,1,22,16,4,2,1
27,31,Operations,2,13,66700,0,1,1,45,19,4,2,1
28,29,Engineering,2,11,49700,0,2,1,23,71,4,3,0
29,60,Operations,1,7,37700,1,1,2,22,52,4,5,1
30,27,Finance,4,9,78000,1,3,3,15,28,1,1,0
31,46,Marketing,1,2,37100,1,5,3,2,14,4,2,0
32,37,Engineering,1,13,46000,1,5,5,8,49,5,1,0
33,37,Engineering,3,0,74600,0,3,4,5,42,4,5,0
34,40,HR,2,13,61200,1,5,2,13,53,4,3,0
35,32,HR,2,12,62800,1,3,2,28,74,4,2,0
